name,dateofbirth,timeofbirth,placeofbirth,longitude,latitude,timezone,informationsource,astrosagerating,cloudbtn,name,place,sex,sec,min,hrs,day,month,year,latdeg,longdeg,latmin,longmin,longew,latns,dst,languagecode,ayanamsa,kphn,charting
Akul Balaji,"Friday, Febuary 23, 1979",12:00:00,Koduru,78 E 8,14 N 53,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Akul Balaji,Koduru,Male,0,0,12,23,2,1979,14,78,53,8,E,N,0,0,0,0,0
Arvind Swamy,"Thursday, June 18, 1970",12:00:00,Chennai,80 E 18,13 N 5,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Arvind Swamy,Chennai,Male,0,0,12,18,6,1970,13,80,5,18,E,N,0,0,0,0,0
Akkineni Akhil,"Friday, April 8, 1994",12:00:00,San Jose,121 W 53,37 N 20,-5.0,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Akkineni Akhil,San Jose,Male,0,0,12,8,4,1994,37,121,20,53,W,N,0,0,0,0,0
Achyuth Kumar,"Tuesday, March 8, 1966",12:00:00,Tiptur,76 E 29,13 N 16,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Achyuth Kumar,Tiptur,Male,0,0,12,8,3,1966,13,76,16,29,E,N,0,0,0,0,0
Avinash Tiwary,"Thursday, August 15, 1985",12:00:00,Gopalganj,84 E 26,26 N 28,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Avinash Tiwary,Gopalganj,Male,0,0,12,15,8,1985,26,84,28,26,E,N,0,0,0,0,0
Abijeet Duddala,"Tuesday, October 11, 1988",12:00:00,Hyderabad,78 E 26,17 N 22,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Abijeet Duddala,Hyderabad,Male,0,0,12,11,10,1988,17,78,22,26,E,N,0,0,0,0,0
Ananth Nag,"Saturday, September 4, 1948",12:00:00,Girgaum,72 E 49,18 N 58,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Ananth Nag,Girgaum,Male,0,0,12,4,9,1948,18,72,58,49,E,N,0,0,0,0,0
Abhimanyu Singh,"Saturday, September 20, 1975",12:00:00,Sonepur,85 E 13,25 N 42,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Abhimanyu Singh,Sonepur,Male,0,0,12,20,9,1975,25,85,42,13,E,N,0,0,0,0,0
Arjun Mathur,"Sunday, October 18, 1981",12:00:00,London,0 W 5,51 N 30,0.0,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Arjun Mathur,London,Male,0,0,12,18,10,1981,51,0,30,5,W,N,0,0,0,0,0
Amol Palekar,"Friday, November 24, 1944",12:00:00,Mumbai,72 E 50,18 N 58,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Amol Palekar,Mumbai,Male,0,0,12,24,11,1944,18,72,58,50,E,N,0,0,0,0,0
Ajinkya Dev,"Friday, May 3, 1963",12:00:00,Mumbai,72 E 50,18 N 58,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Ajinkya Dev,Mumbai,Male,0,0,12,3,5,1963,18,72,58,50,E,N,0,0,0,0,0
Attakathi Dinesh,"Sunday, January 1, 1984",12:00:00,Vellore,79 E 9,12 N 56,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Attakathi Dinesh,Vellore,Male,0,0,12,1,1,1984,12,79,56,9,E,N,0,0,0,0,0
Arif Zakaria,"Friday, November 11, 1966",12:00:00,Mumbai,72 E 50,18 N 58,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Arif Zakaria,Mumbai,Male,0,0,12,11,11,1966,18,72,58,50,E,N,0,0,0,0,0
Ashok Selvan,"Wednesday, November 8, 1989",12:00:00,Erode,77 E 43,11 N 21,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Ashok Selvan,Erode,Male,0,0,12,8,11,1989,11,77,21,43,E,N,0,0,0,0,0
Abhijeeth Poondla,"Saturday, May 30, 1987",12:00:00,Hyderabad,78 E 26,17 N 22,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Abhijeeth Poondla,Hyderabad,Male,0,0,12,30,5,1987,17,78,22,26,E,N,0,0,0,0,0
Ashok Saraf,"Wednesday, June 4, 1947",12:00:00,Nagpur,79 E 12,21 N 10,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Ashok Saraf,Nagpur,Male,0,0,12,4,6,1947,21,79,10,12,E,N,0,0,0,0,0
Ahuti Prasad,"Thursday, January 2, 1958",12:00:00,Koduru,78 E 8,14 N 53,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Ahuti Prasad,Koduru,Male,0,0,12,2,1,1958,14,78,53,8,E,N,0,0,0,0,0
Ashish Chaudhary,"Friday, July 21, 1978",12:00:00,Mumbai,72 E 50,18 N 58,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Ashish Chaudhary,Mumbai,Male,0,0,12,21,7,1978,18,72,58,50,E,N,0,0,0,0,0
Allu Sirish,"Saturday, May 30, 1987",12:00:00,Chennai,80 E 18,13 N 5,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Allu Sirish,Chennai,Male,0,0,12,30,5,1987,13,80,5,18,E,N,0,0,0,0,0
Anubhav Mohanty,"Thursday, December 24, 1981",12:00:00,Cuttack,85 E 56,20 N 26,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Anubhav Mohanty,Cuttack,Male,0,0,12,24,12,1981,20,85,26,56,E,N,0,0,0,0,0
Allari Naresh,"Wednesday, June 30, 1982",12:00:00,Chennai,80 E 18,13 N 5,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Allari Naresh,Chennai,Male,0,0,12,30,6,1982,13,80,5,18,E,N,0,0,0,0,0
Aditya Kumar,"Monday, December 7, 1992",12:00:00,Patna,85 E 12,25 N 37,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Aditya Kumar,Patna,Male,0,0,12,7,12,1992,25,85,37,12,E,N,0,0,0,0,0
Anoop Menon,"Tuesday, August 3, 1976",12:00:00,Kozhikonde,75 E 46,11 N 15,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Anoop Menon,Kozhikonde,Male,0,0,12,3,8,1976,11,75,15,46,E,N,0,0,0,0,0
Ali Basha,"Thursday, October 10, 1968",12:00:00,Rajahmundry,81 E 52,17 N 1,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Ali Basha,Rajahmundry,Male,0,0,12,10,10,1968,17,81,1,52,E,N,0,0,0,0,0
Ashish Sharma,"Thursday, August 30, 1984",12:00:00,Jaipur,95 E 24,27 N 14,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Ashish Sharma,Jaipur,Male,0,0,12,30,8,1984,27,95,14,24,E,N,0,0,0,0,0
Arjun Bijlani,"Sunday, October 31, 1982",12:00:00,Mumbai,72 E 50,18 N 58,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Arjun Bijlani,Mumbai,Male,0,0,12,31,10,1982,18,72,58,50,E,N,0,0,0,0,0
Arjit Taneja,"Tuesday, November 10, 1992",12:00:00,Delhi,77 E 13,28 N 39,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Arjit Taneja,Delhi,Male,0,0,12,10,11,1992,28,77,39,13,E,N,0,0,0,0,0
Aniruddh Dave,"Monday, July 21, 1986",12:00:00,Dehradun,78 E 3,30 N 19,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Aniruddh Dave,Dehradun,Male,0,0,12,21,7,1986,30,78,19,3,E,N,0,0,0,0,0
Anang Desai,"Monday, May 4, 1953",12:00:00,Ahmedabad,72 E 40,23 N 3,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Anang Desai,Ahmedabad,Male,0,0,12,4,5,1953,23,72,3,40,E,N,0,0,0,0,0
Anas Rashid,"Sunday, August 31, 1980",12:00:00,Malerkotla,75 E 56,30 N 34,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Anas Rashid,Malerkotla,Male,0,0,12,31,8,1980,30,75,34,56,E,N,0,0,0,0,0
Aly Goni,"Monday, Febuary 25, 1991",12:00:00,Bhadarwah,75 E 47,32 N 56,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Aly Goni,Bhadarwah,Male,0,0,12,25,2,1991,32,75,56,47,E,N,0,0,0,0,0
Alok Nath,"Tuesday, July 10, 1956",12:00:00,Delhi,77 E 13,28 N 39,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Alok Nath,Delhi,Male,0,0,12,10,7,1956,28,77,39,13,E,N,0,0,0,0,0
Ali Asgar,"Monday, July 25, 1966",12:00:00,Mumbai,72 E 50,18 N 58,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Ali Asgar,Mumbai,Male,0,0,12,25,7,1966,18,72,58,50,E,N,0,0,0,0,0
Adnan Khan,"Saturday, December 24, 1988",12:00:00,Dubai,55 E 20,25 N 18,4.0,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Adnan Khan,Dubai,Male,0,0,12,24,12,1988,25,55,18,20,E,N,0,0,0,0,0
Ankita Mayank Sharma,"Saturday, Febuary 7, 1987",12:00:00,Delhi,77 E 13,28 N 39,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Ankita Mayank Sharma,Delhi,Female,0,0,12,7,2,1987,28,77,39,13,E,N,0,0,0,0,0
Additi Gupta,"Thursday, April 21, 1988",12:00:00,Bhopal,77 E 28,23 N 17,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Additi Gupta,Bhopal,Female,0,0,12,21,4,1988,23,77,17,28,E,N,0,0,0,0,0
Amrapali Gupta,"Tuesday, December 20, 1988",12:00:00,Lucknow,80 E 54,26 N 50,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Amrapali Gupta,Lucknow,Female,0,0,12,20,12,1988,26,80,50,54,E,N,0,0,0,0,0
Aditi Rathore,"Saturday, October 30, 1993",12:00:00,Bikaner,73 E 22,28 N 1,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Aditi Rathore,Bikaner,Female,0,0,12,30,10,1993,28,73,1,22,E,N,0,0,0,0,0
Aditi Rathore,"Saturday, October 30, 1993",12:00:00,Bikaner,73 E 22,28 N 1,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Aditi Rathore,Bikaner,Female,0,0,12,30,10,1993,28,73,1,22,E,N,0,0,0,0,0
Aishwarya Sakhuja,"Sunday, January 4, 1987",12:00:00,Delhi,77 E 13,28 N 39,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Aishwarya Sakhuja,Delhi,Female,0,0,12,4,1,1987,28,77,39,13,E,N,0,0,0,0,0
Amberdeep Singh,"Saturday, December 13, 1980",17:23:46,Abohar,74 E 11,30 N 9,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Amberdeep Singh,Abohar,Male,46,23,17,13,12,1980,30,74,9,11,E,N,0,0,0,0,0
Aman Dhaliwal,"Thursday, July 24, 1986",17:18:28,Mansa,72 E 42,23 N 24,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Aman Dhaliwal,Mansa,Male,28,18,17,24,7,1986,23,72,24,42,E,N,0,0,0,0,0
Aarya Babbar,"Sunday, May 24, 1981",12:00:00,Mumbai,72 E 50,18 N 58,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Aarya Babbar,Mumbai,Male,0,0,12,24,5,1981,18,72,58,50,E,N,0,0,0,0,0
Avantika Hundal,"Sunday, October 25, 1992",12:00:00,Mumbai,72 E 50,18 N 58,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Avantika Hundal,Mumbai,Female,0,0,12,25,10,1992,18,72,58,50,E,N,0,0,0,0,0
Ammy Virk,"Monday, May 11, 1992",12:00:00,Nabha,76 E 12,30 N 22,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Ammy Virk,Nabha,Male,0,0,12,11,5,1992,30,76,22,12,E,N,0,0,0,0,0
Amrinder Gill,"Tuesday, May 11, 1976",12:00:00,Amritsar,74 E 56,31 N 35,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Amrinder Gill,Amritsar,Male,0,0,12,11,5,1976,31,74,35,56,E,N,0,0,0,0,0
Athiya Shetty,"Thursday, November 5, 1992",12:00:00,Mumbai,72 E 50,18 N 58,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Athiya Shetty,Mumbai,Female,0,0,12,5,11,1992,18,72,58,50,E,N,0,0,0,0,0
Ananya Pandey,"Friday, October 30, 1998",12:00:00,Mumbai,72 E 50,18 N 58,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Ananya Pandey,Mumbai,Female,0,0,12,30,10,1998,18,72,58,50,E,N,0,0,0,0,0
Anya Taylor Joy,"Tuesday, April 16, 1996",12:00:00,Florida,66 W 34,18 N 21,-5.0,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Anya Taylor Joy,Florida,Female,0,0,12,16,4,1996,18,66,21,34,W,N,0,0,0,0,0
Aubrey Plaza,"Tuesday, June 26, 1984",12:00:00,Delaware,85 W 12,39 N 8,-5.0,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Aubrey Plaza,Delaware,Female,0,0,12,26,6,1984,39,85,8,12,W,N,0,0,0,0,0
Alexander Skarsgard,"Wednesday, August 25, 1976",12:00:00,Stockholm,18 E 3,59 N 20,1.0,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Alexander Skarsgard,Stockholm,Male,0,0,12,25,8,1976,59,18,20,3,E,N,0,0,0,0,0
Adrienne Bailon,"Monday, October 24, 1983",12:10:00,New york,74 W 0,40 N 42,-5.0,Internet,Reference,See kundli in AstroSage Cloud,Adrienne Bailon,New york,Female,0,10,12,24,10,1983,40,74,42,0,W,N,0,0,0,0,0
Abhijat Joshi,"Monday, December 1, 1969",12:00:00,Ahmedabad,72 E 40,23 N 3,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Abhijat Joshi,Ahmedabad,Male,0,0,12,1,12,1969,23,72,3,40,E,N,0,0,0,0,0
Atul Gogavale,"Wednesday, September 11, 1974",12:00:00,Pune,73 E 58,18 N 34,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Atul Gogavale,Pune,Male,0,0,12,11,9,1974,18,73,34,58,E,N,0,0,0,0,0
Ajay Gogavale,"Saturday, August 21, 1976",12:00:00,Pune,73 E 58,18 N 34,5.5,Dirty Data,Dirty Data,See kundli in AstroSage Cloud,Ajay Gogavale,Pune,Male,0,0,12,21,8,1976,18,73,34,58,E,N,0,0,0,0,0
